ID;STRUCTURE PORTEUSE;NATURE JURIDIQUE;NOM DU LIEUX;ADRESSE;CODE POSTAL;VILLE;LATITUDE;LONGITUDE;TYPE DE LIEU;ACTIVITES PROPOSEES;HORAIRES;MATERIELS DISPONIBLES;AUTRES LABELS;URL FACEBOOK;URL TWITTER;URL YOUTUBE;PLUS D'INFORMATION;LOGO
33;INSERTION SOLIDARITE INTEGRATION;ASSOCIATION ;MAISON DE LA VIE VENCOISE;51 avenue des Alliés;6140;VENCE;;;LIEU DE MEDIATION NUMERIQUE;Appui numérique à la recherche d'emploi (accompagnement individuel et collectif), accompagnement aux usages numériques;Lundi au vendredi : 9h-12h/14h18h;Salle informatique avec ordinateurs en réseau, un cyberespace équipé de 6 ordinateurs,  accueil équipé d' ordinateurs dont 1 en libre service en continu;"Centre social; ";https://m.facebook.com/associationISI/;;;http://www.associationisi.org;https://i.goopics.net/nvq1Q.png
34;SOPHIA LOISIR ET VIE;ASSOCIATION;MSAP ITINERANTE DU HAUT ET MOYEN PAYS DE LA CASA;- ;6140;PONT DU LOUP;;;LIEU DE MEDIATION NUMERIQUE;E-administration, médiation et acculturation numérique, graphisme, soutien numérique aux entreprises et aux auto-entrepreneurs;"Lundi 13h30-17h00; jeudi 9h-12h30";Ordinateurs, imprimantes, tablette, vidéo-projection;Maison de Service Au Public (MSAP);https://www.facebook.com/MSAPitinerante06/;;https://www.youtube.com/channel/UCF4Yqg0YJt0Vz2ibkJoXbWA;http://www.slv-valbonne.fr;https://i.goopics.net/wyWV3.png
35;AFPA ACCES A L'EMPLOI;SASU ;CENTRE AFPA DE CANNES;161 avenue Francis Tonner;6150;CANNES;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
36;INITIATIVE NICE CÔTE D'AZUR;ASSOCIATION;INITIATIVE NICE CÔTE D'AZUR;208 boulevard du Mercantour;6200;NICE;;;LIEU DE MEDIATION NUMERIQUE;"Expérimentation avec du matériel numérique à disposition, ateliers thématiques, diagnostics numériques
";"Lundi au vendredi 9h-18h; en soirée sur rendez-vous";Vidéoprojecteur, paperboard, mobilier mobile, tableau d'affichage, reprographie, connexion Internet, salles de réunion;;https://www.facebook.com/initiativenca/;https://twitter.com/InitiativeNca;;http://www.initiative-nca.fr;https://i.goopics.net/4vE5l.png
37;METROPOLE NICE CÔTE D'AZUR;EPCI;CENTRE EUROPEEN D'ENTREPRISE ET D'INNOVATION;61 avenue Simone Veil;6200;NICE;;;"FABLAB; ESPACE DE COWORKING";Hébergement et accompagnement de startups. ;Lundi au vendredi 8h30-12h30/13h30-17h00;Découpeuse laser, imprimantes 3D, salle de visioconférence.;RETIS / EBEN / FRENCH TECH Côte d'azur/La Fabrique à Entreprendre.;https://www.facebook.com/CEEINCA;https://twitter.com/ceeinca;https://www.youtube.com/channel/UCdZMR-PefPnyS68Asfr75Zg;http://www.ceeinca.org;https://i.goopics.net/1WEEe.png
38;AFPA ACCES A L'EMPLOI;SASU ;CENTRE AFPA DE NICE;244 route de Turin;6300;NICE;;;LIEU DE MEDIATION NUMERIQUE;Mise à disposition d'espaces de travail et de rencontres, ateliers numériques pour les entreprises,leurs salariés et demandeurs d'emplois;"Tous les premiers jeudi du mois; 9h-12h : AGORA SPACE (médiation numérique) ; 14h-18h / REPAR ACTION (repair café)";Outils et machines présents sur site;;;;;https://www.afpa.fr/directionregionale/direction-regionale-de-paca;https://i.goopics.net/aODWZ.png
39;DIVA;ASSOCIATION ;LE HUBLOT;89 route de Turin;6300;NICE;;;"FABLAB; LIEU DE MEDIATION NUMERIQUE";Atelier de médiation numérique, création numérique, événements ;"Lundi au jeudi 9h-12h/14h-18h; vendredi 9h-12h/14h-21h; samedi 18h-21h";Postes informatiques en accès libre, CNC, HTC, Caméra 3D, audio …;Grande Ecole du Numérique (GEN);www.facebook.com/lehublot.nice;;www.youtube.com/user/assolehublot;http://www.lehublot.net;https://i.goopics.net/J8NNo.png
40;PRISME ;SAS-CAE;LABOM;Allée du parc;6370;MOUANS-SARTOUX;;;"ESPACE DE COWORKING; MEDIALAB; LIEU DE MEDIATION NUMERIQUE";coworking, accompagnement des entreprises sur leurs pratiques numériques, mise en réseau, accompagnement des demandeurs d'emplois;"Lundi,mardi,mercredi, vendredi 9h-12h/14h-18h; jeudi 9h-12h/18h-21h; samedi 9h-12h";espaces de travail, bornes numériques;;;;;http://www.labom.com;https://i.goopics.net/5qEEy.png
41;LOGIS DES JEUNES DE PROVENCE;ASSOCIATION ;ERIC DE CANNES, LOCOWORKING;5 Rue de Mimont;6400;CANNES;43.555117;7.019831;LIEU DE MEDIATION NUMERIQUE;Accès internet, Ateliers numériques et Bureautique tous publics, club informatique, espace de coworking, mise à disposition d'espaces de travail et de rencontres, conférence/Débats et exposition, accueil et soutien aux entreprises et aux auto-entrepreneurs, accompagnement vers l'emploi…;Du lundi au samedi de 9-13h/14h-20h;Ordinateurs fixes et portables, imprimantes laser couleur multifonctions, scanner, Vidéoprojecteurs, Tablettes (IOS, Android, Windows)…;Espace Public Numérique (EPN), Cyberbase, Point Information Jeunesse (PIJ), Point relais CAF;https://www.facebook.com/logisdesjeunesdeprovence/;;;http://www.logisdesjeunes.asso.fr;https://i.goopics.net/aOdd0.png
42;UFCV;ASSOCIATION;CENTRE SOCIAL L'EPI;25 place de Provence;6470;GUILLAUMES;;;LIEU DE MEDIATION NUMERIQUE;Accompagnement démarches administratives (atelier collectif ou individuel), initiation à l'informatique, dépannage occasionnel, ateliers numériques dans les écoles partenaires. ;Lundi au vendredi 9h-12h30/14h-17h30;Ordinateurs, WIFI gratuit, imprimante, scanner, tablettes tactiles, video projecteur;"Maison de Service Au Public (MSAP); Point relais CAF ";https://www.facebook.com/Lépi-CS-Guillaumes;;;https://epi.ufcv.fr/;https://i.goopics.net/9qEEw.png
